Area,Year,Quarter,Overall_hpi,Overall_YoY,Low_hpi,Low_YoY,Mid_hpi,Mid_YoY,High_hpi,High_YoY
"Amarillo",2004,1,100.000000000,,,,,,,
"Amarillo",2004,2,97.071497939,,,,,,,
"Amarillo",2004,3,99.666882322,,,,,,,
"Amarillo",2004,4,99.492635413,,,,,,,
"Amarillo",2005,1,99.395510108,-0.006044898,,,,,,
"Amarillo",2005,2,102.715065334,0.058138253,,,,,,
"Amarillo",2005,3,103.870857393,0.042180260,,,,,,
"Amarillo",2005,4,105.443224026,0.059809337,,,,,,
"Amarillo",2006,1,105.698585915,0.063414089,,,,,,
"Amarillo",2006,2,108.777685298,0.059023668,,,,,,
"Amarillo",2006,3,107.576176091,0.035672360,,,,,,
"Amarillo",2006,4,108.194100055,0.026088694,,,,,,
"Amarillo",2007,1,110.445822699,0.044912963,,,,,,
"Amarillo",2007,2,112.242476406,0.031852039,,,,,,
"Amarillo",2007,3,112.052528802,0.041611004,,,,,,
"Amarillo",2007,4,109.439070025,0.011506819,,,,,,
"Amarillo",2008,1,109.253828134,-0.010792572,,,,,,
"Amarillo",2008,2,110.631952930,-0.014348609,,,,,,
"Amarillo",2008,3,113.528876809,0.013175499,,,,,,
"Amarillo",2008,4,111.399147977,0.017910221,,,,,,
"Amarillo",2009,1,107.170684483,-0.019067008,,,,,,
"Amarillo",2009,2,109.118361405,-0.013681323,,,,,,
"Amarillo",2009,3,111.285429003,-0.019761032,,,,,,
"Amarillo",2009,4,111.248839211,-0.001349281,,,,,,
"Amarillo",2010,1,109.530223361,0.022016644,,,,,,
"Amarillo",2010,2,111.646437325,0.023168199,,,,,,
"Amarillo",2010,3,110.930630742,-0.003188182,,,,,,
"Amarillo",2010,4,109.977204837,-0.011430540,,,,,,
"Amarillo",2011,1,110.502896156,0.008880405,,,,,,
"Amarillo",2011,2,110.553436416,-0.009789841,,,,,,
"Amarillo",2011,3,111.292761469,0.003264479,,,,,,
"Amarillo",2011,4,109.935815168,-0.000376347,,,,,,
"Amarillo",2012,1,110.470129770,-0.000296520,,,,,,
"Amarillo",2012,2,113.155734632,0.023538827,,,,,,
"Amarillo",2012,3,113.098973894,0.016229379,,,,,,
"Amarillo",2012,4,112.919538153,0.027140590,,,,,,
"Amarillo",2013,1,114.058333856,0.032481215,,,,,,
"Amarillo",2013,2,115.520888506,0.020901758,,,,,,
"Amarillo",2013,3,115.618434976,0.022276604,,,,,,
"Amarillo",2013,4,115.713668407,0.024744435,,,,,,
"Amarillo",2014,1,115.639432068,0.013862189,,,,,,
"Amarillo",2014,2,119.450292673,0.034014663,,,,,,
"Amarillo",2014,3,119.449289707,0.033133597,,,,,,
"Amarillo",2014,4,118.275970420,0.022143468,,,,,,
"Amarillo",2015,1,119.526822753,0.033616480,,,,,,
"Amarillo",2015,2,122.276652202,0.023661386,,,,,,
"Amarillo",2015,3,122.552480103,0.025979144,,,,,,
"Amarillo",2015,4,122.752349384,0.037846901,,,,,,
"Amarillo",2016,1,123.870243525,0.036338460,,,,,,
"Amarillo",2016,2,126.660317269,0.035850385,,,,,,
"Amarillo",2016,3,127.627100928,0.041407736,,,,,,
"Amarillo",2016,4,126.848281343,0.033367442,,,,,,
"Amarillo",2017,1,127.864973398,0.032249309,,,,,,
"Amarillo",2017,2,129.080410985,0.019106960,,,,,,
"Amarillo",2017,3,130.506122408,0.022558073,,,,,,
"Amarillo",2017,4,130.729351245,0.030596156,,,,,,
"Amarillo",2018,1,130.083099578,0.017347410,,,,,,
"Amarillo",2018,2,131.654477271,0.019941571,,,,,,
"Amarillo",2018,3,131.704604837,0.009183342,,,,,,
"Amarillo",2018,4,130.557666531,-0.001313283,,,,,,
"Amarillo",2019,1,131.630969066,0.011899082,,,,,,
"Amarillo",2019,2,135.375878484,0.028266423,,,,,,
"Amarillo",2019,3,136.026894598,0.032818061,,,,,,
"Amarillo",2019,4,135.577020462,0.038445493,,,,,,
"Amarillo",2020,1,136.830903438,0.039503882,,,,,,
"Amarillo",2020,2,139.044494161,0.027099478,,,,,,
"Amarillo",2020,3,142.502571232,0.047605855,,,,,,
"Amarillo",2020,4,144.365942268,0.064826043,,,,,,
"Amarillo",2021,1,148.172619550,0.082888556,,,,,,
"Amarillo",2021,2,156.883567480,0.128297588,,,,,,
"Amarillo",2021,3,161.629062952,0.134218572,,,,,,
"Amarillo",2021,4,163.899164033,0.135303531,,,,,,
"Amarillo",2022,1,170.097395370,0.147967795,,,,,,
"Amarillo",2022,2,175.975579887,0.121695424,,,,,,
"Amarillo",2022,3,175.740501484,0.087307556,,,,,,
"Amarillo",2022,4,175.575076206,0.071238387,,,,,,
"Amarillo",2023,1,177.892933492,0.045829850,,,,,,
"Austin-Round Rock",1999,1,100.000000000,,100.000000000,,100.000000000,,100.000000000,
"Austin-Round Rock",1999,2,104.846881422,,109.622811842,,101.616020374,,102.756789694,
"Austin-Round Rock",1999,3,105.434595432,,105.769334429,,106.051194459,,104.367575439,
"Austin-Round Rock",1999,4,108.079465473,,113.290222474,,103.821997011,,105.979479185,
"Austin-Round Rock",2000,1,113.253782573,0.132537825,112.606895901,0.126068959,111.522931617,0.115229316,113.985756504,0.139857565
"Austin-Round Rock",2000,2,117.685797765,0.122453964,120.786196102,0.101834500,114.068205555,0.122541555,116.976981451,0.138386882
"Austin-Round Rock",2000,3,123.688632192,0.173131377,124.637376831,0.178388589,119.339560136,0.125301423,124.859924843,0.196347853
"Austin-Round Rock",2000,4,123.422890948,0.141964298,125.170900498,0.104869403,121.062845023,0.166061610,122.746722099,0.158212165
"Austin-Round Rock",2001,1,128.394937322,0.133692265,130.655666416,0.160281218,126.694567784,0.136040507,126.645692701,0.111065948
"Austin-Round Rock",2001,2,129.842853229,0.103300956,136.642221162,0.131273486,125.603112281,0.101122891,126.746146709,0.083513569
"Austin-Round Rock",2001,3,127.822056523,0.033417980,135.266205984,0.085278023,124.619740248,0.044245010,123.852896036,-0.008065268
"Austin-Round Rock",2001,4,124.668940109,0.010095770,132.611734155,0.059445395,124.110815932,0.025176765,118.781831041,-0.032301400
"Austin-Round Rock",2002,1,126.133019651,-0.017616875,133.802578511,0.024085538,127.243437347,0.004332226,118.916089125,-0.061033292
